  15 Canarias	Ahora
  10 de	Gran
  10 Gran	Canaria
   7 eldiario	es
   7 Palmas	de
   7 Las	Palmas
   5 de	Canarias
   5 Ahora	Las
   4 en	la
   4 del	PSOE
   4 de	las
   4 de	la
   4 a	los
   4 En	esta
   4 Compartir	en
   4 Adriana	Lastra
   3 y	Ciudadanos
   3 vicesecretaria	general
   3 que	no
   3 los	militantes
   3 general	del
   3 en	La
   3 de	los
   3 _______________________________________________________________________	_______________________________________________________________________
   3 PP	y
   3 Lastra	ha
   3 La	Aldea
   2 y	simpatizantes
   2 y	locales
   2 y	a
   2 vs	Sosa
   2 tienes	que
   2 techo	de
   2 socialistas	en
   2 simpatizantes	socialistas
   2 senadora	y
   2 secretario	general
   2 que	ha
   2 que	el
   2 poniendo	en
   2 pixel	gif
   2 no	se
   2 millones	Canarias
   2 militantes	y
   2 las	instituciones
   2 las	elecciones
   2 la	Rosa
   2 la	GC
   2 la	Fiesta
   2 habla	a
   2 ha	dicho
   2 gif	category
   2 gasto	en
   2 es	eldiario
   2 en	el
   2 en	Twitter
   2 en	Facebook
   2 en	6
   2 elecciones	y
   2 el	secretario
   2 el	aumento
   2 del	techo
   2 de	gasto
   2 con	la
   2 comentar	tienes
   2 aumento	del
   2 ariete	de
   2 al	Gobierno
   2 Trinchera	6
   2 Pomares	vs
   2 PSOE	de
   2 PSOE	Adriana
   2 Lastra	habla
   2 La	vicesecretaria
   2 La	senadora
   2 La	Trinchera
   2 Hazte	socio
   2 Gobierno	socialista
   2 GC	1
   2 Fiesta	de
   2 Fernando	Clavijo
   2 Facebook	Compartir
   2 El	equipo
   2 El	Hierro
   2 El	Diario
   2 Diario	de
   2 Clavijo	que
   2 Ciudadanos	el
   2 Canarias	Fernando
   2 Canaria	La
   2 Boletines	Canarias
   2 Aviso	legal
   2 Aldea	Cedida
   2 Ahora	PUBLICIDAD
   2 6	Pomares
   2 6	000
   2 45h	Compartir
   2 2018	17
   2 17	45h
   2 10	2018
   2 07	10
   2 000	millones
   1 yo	Retrones
   1 ya	Para
   1 y	tras
   1 y	tenemos
   1 y	otros
   1 y	la
   1 y	fuertes
   1 y	el
   1 y	de
   1 y	candidato
   1 y	augura
   1 y	Cs
   1 www	googletagmanager
   1 votemos	ha
   1 vista	puesta
   1 valores	sociales
   1 utilizando	la
   1 uso	Comentar
   1 una	pista
   1 una	de
   1 un	herido
   1 un	gobierno
   1 tu	correo
   1 tu	comentario
   1 tu	apoyo
   1 tratando	de
   1 tras	las
   1 tras	Canarias
   1 trampa	torticera
   1 trabajar	para
   1 torticera	del
   1 toma	de
   1 tenemos	que
   1 sus	intervenciones
   1 su	toma
   1 su	partido
   1 su	parte
   1 su	labor
   1 su	comparecencia
   1 solicitado	a
   1 socios	Revistas
   1 socios	La
   1 socio	Secciones
   1 socio	El
   1 socialistas	tras
   1 socialistas	trabajar
   1 socialistas	celebran
   1 socialistas	canarios
   1 socialista	porque
   1 socialista	oportunidad
   1 socialista	a
   1 socialista	CC
   1 sociales	Hazte
   1 sistema	sanitario
   1 sin	este
   1 ser	inferior
   1 semana	y
   1 se	salda
   1 se	puede
   1 se	ha
   1 se	convierta
   1 sanitario	Unidad
   1 salud	y
   1 salda	con
   1 riesgo	las
   1 retenciones	en
   1 responde	FAQs
   1 represaliados	del
   1 repente	llegan
   1 remoto	pueblo
   1 relaciones	de
   1 reglamento	impiden
   1 registrarte	Si
   1 regional	EFE
   1 redes	Facebook
   1 reconquistar	para
   1 recientemente	estaba
   1 rand	2140992059
   1 rand	1534134751
   1 que	votemos
   1 que	su
   1 que	se
   1 que	registrarte
   1 que	reconquistar
   1 que	que
   1 que	luego
   1 que	incluso
   1 que	en
   1 que	confirmar
   1 que	abandone
   1 que	Pedro
   1 que	PP
   1 puesta	en
   1 pueden	criticar
   1 puede	perder
   1 pueblo	internet
   1 progresista	a
   1 prevista	la
   1 presidente	del
   1 presidente	de
   1 porque	no
   1 porque	con
   1 por	intereses
   1 por	el
   1 por	alcance
   1 por	Relevancia
   1 poder	comentar
   1 pista	Buscador
   1 perfil	Preguntas
   1 perder	y
   1 pedido	a
   1 partir	de
   1 partido	elecciones
   1 partido	En
   1 partidistas	Prueba
   1 parte	el
   1 para	conseguir
   1 para	atacar
   1 para	Canarias
   1 p	c1
   1 otros	asuntos
   1 oportunidad	que
   1 ofrecido	durante
   1 ocurriendo	cosas
   1 nuestras	apps
   1 ns	html
   1 nosotros	El
   1 nombreusuario	Mi
   1 no	recientemente
   1 no	pueden
   1 ninguna	de
   1 net	Tribuna
   1 net	Catalunya
   1 neoliberales	Por
   1 muchos	alcaldes
   1 millones	de
   1 militantes	socialistas
